Latitude,Longitude,OBJECTID,PONTO_RECOLHA_FREGUESIA,PONTO_RECOLHA_LOCAL,CONTENTOR_RESÍDUO,CONTENTOR_TIPO,CONTENTOR_CAPACIDADE,CONTENTOR_QT,CONTENTOR_TOTAL_LITROS
-9.143308809,38.70807879,355,Misericórdia,15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde),Lixos,CV0090,90,1,90
-9.143308809,38.70807879,356,Misericórdia,15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde),Lixos,CV0240,240,7,1680
-9.143308809,38.70807879,357,Misericórdia,15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde),Lixos,CV0090,90,1,90
-9.143233746,38.70764706,906,Misericórdia,"21944: R Ferragial, 33-B",Vidro,CV0240,240,1,240
-9.143233746,38.70764706,907,Misericórdia,"21944: R Ferragial, 33-B",Organicos,CV0240,240,1,240
-9.1420101,38.70728832,334,Misericórdia,15893: Lg Corpo Santo (Ambos (13->)(10->28): R Arsenal - Cc do Ferragial),Lixos,CV0090,90,1,90
-9.1420101,38.70728832,335,Misericórdia,15893: Lg Corpo Santo (Ambos (13->)(10->28): R Arsenal - Cc do Ferragial),Lixos,CV0140,140,4,560
